('glove1', {'Total Match': 538, 'Recall': 0.1345, 'Search Time': 1.0751780000000002, 'Given n*k': 4000, 'Found n*k': 4000, 'unique neighbors': 4000, 'issue': False, 'Total Indexing Count': 23.236331})
('glove10', {'Total Match': 342, 'Recall': 0.0855, 'Search Time': 0.6261899999999995, 'Given n*k': 4000, 'Found n*k': 4000, 'unique neighbors': 4000, 'issue': False, 'Total Indexing Count': 20.849582})
('glove11', {'Total Match': 228, 'Recall': 0.057, 'Search Time': 0.30463999999999974, 'Given n*k': 4000, 'Found n*k': 4000, 'unique neighbors': 4000, 'issue': False, 'Total Indexing Count': 20.618987})
('glove2', {'Total Match': 655, 'Recall': 0.16375, 'Search Time': 1.939978999999998, 'Given n*k': 4000, 'Found n*k': 4000, 'unique neighbors': 4000, 'issue': False, 'Total Indexing Count': 19.632406})
('glove3', {'Total Match': 993, 'Recall': 0.24825, 'Search Time': 3.3549000000000055, 'Given n*k': 4000, 'Found n*k': 4000, 'unique neighbors': 4000, 'issue': False, 'Total Indexing Count': 17.618276})
('glove4', {'Total Match': 1706, 'Recall': 0.4265, 'Search Time': 9.961315999999995, 'Given n*k': 4000, 'Found n*k': 4000, 'unique neighbors': 4000, 'issue': False, 'Total Indexing Count': 14.562246})
('glove5', {'Total Match': 2304, 'Recall': 0.576, 'Search Time': 19.932466, 'Given n*k': 4000, 'Found n*k': 4000, 'unique neighbors': 4000, 'issue': False, 'Total Indexing Count': 13.86728})
('glove6', {'Total Match': 2301, 'Recall': 0.57525, 'Search Time': 22.83434300000001, 'Given n*k': 4000, 'Found n*k': 4000, 'unique neighbors': 4000, 'issue': False, 'Total Indexing Count': 16.04575})
('glove7', {'Total Match': 2301, 'Recall': 0.57525, 'Search Time': 22.61811599999999, 'Given n*k': 4000, 'Found n*k': 4000, 'unique neighbors': 4000, 'issue': False, 'Total Indexing Count': 17.13868})
('glove8', {'Total Match': 448, 'Recall': 0.112, 'Search Time': 1.0453880000000004, 'Given n*k': 4000, 'Found n*k': 4000, 'unique neighbors': 4000, 'issue': False, 'Total Indexing Count': 21.311206})
('glove9', {'Total Match': 382, 'Recall': 0.0955, 'Search Time': 0.7560500000000006, 'Given n*k': 4000, 'Found n*k': 4000, 'unique neighbors': 4000, 'issue': False, 'Total Indexing Count': 23.535049})
('imageNet1', {'Total Match': 2232, 'Recall': 0.558, 'Search Time': 1.3594309999999985, 'Given n*k': 4000, 'Found n*k': 4000, 'unique neighbors': 4000, 'issue': False, 'Total Indexing Count': 65.440035})
('imageNet10', {'Total Match': 1743, 'Recall': 0.43575, 'Search Time': 0.6445679999999997, 'Given n*k': 4000, 'Found n*k': 4000, 'unique neighbors': 4000, 'issue': False, 'Total Indexing Count': 68.601649})
('imageNet11', {'Total Match': 1255, 'Recall': 0.31375, 'Search Time': 0.27836099999999975, 'Given n*k': 4000, 'Found n*k': 4000, 'unique neighbors': 4000, 'issue': False, 'Total Indexing Count': 62.311205})
('imageNet2', {'Total Match': 2879, 'Recall': 0.71975, 'Search Time': 1.7956469999999949, 'Given n*k': 4000, 'Found n*k': 4000, 'unique neighbors': 4000, 'issue': False, 'Total Indexing Count': 55.02013})
('imageNet3', {'Total Match': 3311, 'Recall': 0.82775, 'Search Time': 4.425346000000003, 'Given n*k': 4000, 'Found n*k': 4000, 'unique neighbors': 4000, 'issue': False, 'Total Indexing Count': 59.270713})
('imageNet4', {'Total Match': 3745, 'Recall': 0.93625, 'Search Time': 11.733966999999971, 'Given n*k': 4000, 'Found n*k': 4000, 'unique neighbors': 4000, 'issue': False, 'Total Indexing Count': 50.06262})
('imageNet5', {'Total Match': 3855, 'Recall': 0.96375, 'Search Time': 18.71102599999999, 'Given n*k': 4000, 'Found n*k': 4000, 'unique neighbors': 4000, 'issue': False, 'Total Indexing Count': 47.678612})
